time,base_heading,distance_ball_base,distance_ball_hand
0.6810,0.8477,0.0000,0.0000
0.6820,0.8409,0.0000,0.0000
0.6830,0.8346,0.0000,0.0000
0.6840,0.8287,0.0000,0.0000
0.6850,0.8231,0.0000,0.0000
0.6860,0.8179,0.0000,0.0000
0.6870,0.8133,0.0000,0.0000
0.6880,0.8091,0.0000,0.0000
0.6890,0.8052,0.0000,0.0000
0.6900,0.8017,0.0000,0.0000
0.6910,0.7984,0.0000,0.0000
0.6920,0.7954,0.0000,0.0000
0.6930,0.7926,0.0000,0.0000
0.6940,0.7900,0.0000,0.0000
0.6950,0.7875,0.0000,0.0000
0.6960,0.7852,0.0000,0.0000
0.6970,0.7830,0.0000,0.0000
0.6980,0.7809,0.0000,0.0000
0.6990,0.7788,0.0000,0.0000
0.7000,0.7769,0.0000,0.0000
0.7010,0.7750,0.0000,0.0000
0.7020,0.7733,0.0000,0.0000
0.7030,0.7717,0.0000,0.0000
0.7040,0.7703,0.0000,0.0000
0.7050,0.7689,0.0000,0.0000
0.7060,0.7677,0.0000,0.0000
0.7070,0.7665,0.0000,0.0000
0.7080,0.7655,0.0000,0.0000
0.7090,0.7645,0.0000,0.0000
0.7100,0.7636,0.0000,0.0000
0.7110,0.7628,0.0000,0.0000
0.7120,0.7622,0.0000,0.0000
0.7130,0.7616,0.0000,0.0000
0.7140,0.7612,0.0000,0.0000
0.7150,0.7608,0.0000,0.0000
0.7160,0.7605,0.0000,0.0000
0.7170,0.7604,0.0000,0.0000
0.7180,0.7602,0.0000,0.0000
0.7190,0.7602,0.0000,0.0000
0.7200,0.7602,0.0000,0.0000
0.7210,0.7603,0.0000,0.0000
0.7220,0.7604,0.0000,0.0000
0.7230,0.7605,0.0000,0.0000
0.7240,0.7607,0.0000,0.0000
0.7250,0.7610,0.0000,0.0000
0.7260,0.7613,0.0000,0.0000
0.7270,0.7616,0.0000,0.0000
0.7280,0.7620,0.0000,0.0000
0.7290,0.7624,0.0000,0.0000
0.7300,0.7629,0.0000,0.0000
0.7310,0.7634,0.0000,0.0000
0.7320,0.7640,0.0000,0.0000
0.7330,0.7646,0.0000,0.0000
0.7340,0.7652,0.0000,0.0000
0.7350,0.7659,0.0000,0.0000
0.7360,0.7666,0.0000,0.0000
0.7370,0.7673,0.0000,0.0000
0.7380,0.7680,0.0000,0.0000
0.7390,0.7687,0.0000,0.0000
0.7400,0.7695,0.0000,0.0000
0.7410,0.7702,0.0000,0.0000
0.7420,0.7710,0.0000,0.0000
0.7430,0.7718,0.0000,0.0000
0.7440,0.7726,0.0000,0.0000
0.7450,0.7735,0.0000,0.0000
0.7460,0.7743,0.0000,0.0000
0.7470,0.7752,0.0000,0.0000
0.7480,0.7761,0.0000,0.0000
0.7490,0.7771,0.0000,0.0000
0.7500,0.7780,0.0000,0.0000
0.7510,0.7790,0.0000,0.0000
0.7520,0.7800,0.0000,0.0000
0.7530,0.7811,0.0000,0.0000
0.7540,0.7821,0.0000,0.0000
0.7550,0.7832,0.0000,0.0000
0.7560,0.7844,0.0000,0.0000
0.7570,0.7855,0.0000,0.0000
0.7580,0.7866,0.0000,0.0000
0.7590,0.7878,0.0000,0.0000
0.7600,0.7889,0.0000,0.0000
0.7610,0.7901,0.0000,0.0000
0.7620,0.7913,0.0000,0.0000
0.7630,0.7925,0.0000,0.0000
0.7640,0.7938,0.0000,0.0000
0.7650,0.7951,0.0000,0.0000
0.7660,0.7964,0.0000,0.0000
0.7670,0.7976,0.0000,0.0000
0.7680,0.7988,0.0000,0.0000
0.7690,0.8001,0.0000,0.0000
0.7700,0.8013,0.0000,0.0000
0.7710,0.8026,0.0000,0.0000
0.7720,0.8038,0.0000,0.0000
0.7730,0.8049,0.0000,0.0000
0.7740,0.8061,0.0000,0.0000
0.7750,0.8072,0.0000,0.0000
0.7760,0.8084,0.0000,0.0000
0.7770,0.8095,0.0000,0.0000
0.7780,0.8107,0.0000,0.0000
0.7790,0.8118,0.0000,0.0000
0.7800,0.8130,0.0000,0.0000
0.7810,0.8142,0.0000,0.0000
0.7820,0.8154,0.0000,0.0000
0.7830,0.8166,0.0000,0.0000
0.7840,0.8178,0.0000,0.0000
0.7850,0.8190,0.0000,0.0000
0.7860,0.8203,0.0000,0.0000
0.7870,0.8214,0.0000,0.0000
0.7880,0.8225,0.0000,0.0000
0.7890,0.8236,0.0000,0.0000
0.7900,0.8246,0.0000,0.0000
0.7910,0.8257,0.0000,0.0000
0.7920,0.8268,0.0000,0.0000
0.7930,0.8278,0.0000,0.0000
0.7940,0.8289,0.0000,0.0000
0.7950,0.8300,0.0000,0.0000
0.7960,0.8300,1.7721,0.0000
0.7970,0.8300,1.7692,0.0000
0.7980,0.8300,1.7656,0.0000
0.7990,0.8300,1.7615,0.0000
0.8000,0.8300,1.7567,0.0000
0.8010,0.8300,1.7516,0.0000
0.8020,0.8300,1.7461,0.0000
0.8030,0.8300,1.7403,0.0000
0.8040,0.8300,1.7343,0.0000
0.8050,0.8300,1.7281,0.0000
0.8060,0.8300,1.7217,0.0000
0.8070,0.8300,1.7151,0.0000
0.8080,0.8300,1.7085,0.0000
0.8090,0.8300,1.7018,0.0000
0.8100,0.8300,1.6950,0.0000
0.8110,0.8300,1.6881,0.0000
0.8120,0.8300,1.6812,0.0000
0.8130,0.8300,1.6743,0.0000
0.8140,0.8300,1.6673,0.0000
0.8150,0.8300,1.6603,0.0000
0.8160,0.8300,1.6533,0.0000
0.8170,0.8300,1.6463,0.0000
0.8180,0.8300,1.6392,0.0000
0.8190,0.8300,1.6322,0.0000
0.8200,0.8300,1.6252,0.0000
0.8210,0.8300,1.6181,0.0000
0.8220,0.8300,1.6110,0.0000
0.8230,0.8300,1.6040,0.0000
0.8240,0.8300,1.5969,0.0000
0.8250,0.8300,1.5899,0.0000
0.8260,0.8300,1.5828,0.0000
0.8270,0.8300,1.5758,0.0000
0.8280,0.8300,1.5688,0.0000
0.8290,0.8300,1.5617,0.0000
0.8300,0.8300,1.5547,0.0000
0.8310,0.8300,1.6820,0.0000
0.8320,0.8300,1.6747,0.0000
0.8330,0.8300,1.6680,0.0000
0.8340,0.8300,1.6618,0.0000
0.8350,0.8300,1.6560,0.0000
0.8360,0.8300,1.8034,0.0000
0.8370,0.8300,1.7983,0.0000
0.8380,0.8300,1.7942,0.0000
0.8390,0.8300,1.7910,0.0000
0.8400,0.8300,1.7883,0.0000
0.8410,0.8300,1.7862,0.0000
0.8420,0.8300,1.7845,0.0000
0.8430,0.8300,1.7832,0.0000
0.8440,0.8300,1.7821,0.0000
0.8450,0.8300,1.7812,0.0000
0.8460,0.8300,1.6224,0.0000
0.8470,0.8300,1.6210,0.0000
0.8480,0.8300,1.6191,0.0000
0.8490,0.8300,1.6167,0.0000
0.8500,0.8300,1.6139,0.0000
0.8510,0.8300,1.7534,0.0000
0.8520,0.8300,1.7504,0.0000
0.8530,0.8300,1.7478,0.0000
0.8540,0.8300,1.7455,0.0000
0.8550,0.8300,1.7434,0.0000
0.8560,0.8300,1.7415,0.0000
0.8570,0.8300,1.7397,0.0000
0.8580,0.8300,1.7380,0.0000
0.8590,0.8300,1.7364,0.0000
0.8600,0.8300,1.7349,0.0000
0.8610,0.8300,1.5861,0.0000
0.8620,0.8300,1.5840,0.0000
0.8630,0.8300,1.5813,0.0000
0.8640,0.8300,1.5781,0.0000
0.8650,0.8300,1.5744,0.0000
0.8660,0.8300,1.7040,0.0000
0.8670,0.8300,1.7000,0.0000
0.8680,0.8300,1.6964,0.0000
0.8690,0.8300,1.6930,0.0000
0.8700,0.8300,1.6899,0.0000
0.8710,0.8300,1.6869,0.0000
0.8720,0.8300,1.6840,0.0000
0.8730,0.8300,1.6813,0.0000
0.8740,0.8300,1.6786,0.0000
0.8750,0.8300,1.6760,0.0000
