time,eye_theta_error_l,eye_theta_error_r
0.901000,-0.023433,-0.023433
0.902000,-0.023433,-0.023433
0.903000,-0.023433,-0.023433
0.904000,-0.023433,-0.023433
0.905000,-0.023433,-0.023433
0.906000,-0.023433,-0.023433
0.907000,-0.023433,-0.023433
0.908000,-0.023433,-0.023433
0.909000,-0.023433,-0.023433
0.910000,-0.023433,-0.023433
0.911000,-0.007812,-0.023433
0.912000,-0.007812,-0.023433
0.913000,-0.007812,-0.023433
0.914000,-0.007812,-0.023433
0.915000,-0.007812,-0.023433
0.916000,-0.023433,-0.015624
0.917000,-0.023433,-0.015624
0.918000,-0.023433,-0.015624
0.919000,-0.023433,-0.015624
0.920000,-0.023433,-0.015624
0.921000,-0.015624,-0.023433
0.922000,-0.015624,-0.023433
0.923000,-0.015624,-0.023433
0.924000,-0.015624,-0.023433
0.925000,-0.015624,-0.023433
0.926000,-0.015624,-0.023433
0.927000,-0.015624,-0.023433
0.928000,-0.015624,-0.023433
0.929000,-0.015624,-0.023433
0.930000,-0.015624,-0.023433
0.931000,-0.015624,-0.015624
0.932000,-0.015624,-0.015624
0.933000,-0.015624,-0.015624
0.934000,-0.015624,-0.015624
0.935000,-0.015624,-0.015624
0.936000,-0.015624,-0.007812
0.937000,-0.015624,-0.007812
0.938000,-0.015624,-0.007812
0.939000,-0.015624,-0.007812
0.940000,-0.015624,-0.007812
0.941000,0.000000,0.007812
0.942000,0.000000,0.007812
0.943000,0.000000,0.007812
0.944000,0.000000,0.007812
0.945000,0.000000,0.007812
0.946000,0.015624,0.007812
0.947000,0.015624,0.007812
0.948000,0.015624,0.007812
0.949000,0.015624,0.007812
0.950000,0.015624,0.007812
0.951000,0.015624,0.015624
0.952000,0.015624,0.015624
0.953000,0.015624,0.015624
0.954000,0.015624,0.015624
0.955000,0.015624,0.015624
0.956000,0.015624,0.015624
0.957000,0.015624,0.015624
0.958000,0.015624,0.015624
0.959000,0.015624,0.015624
0.960000,0.015624,0.015624
0.961000,0.015624,0.015624
0.962000,0.015624,0.015624
0.963000,0.015624,0.015624
0.964000,0.015624,0.015624
0.965000,0.015624,0.015624
0.966000,0.015624,0.015624
0.967000,0.015624,0.015624
0.968000,0.015624,0.015624
0.969000,0.015624,0.015624
0.970000,0.015624,0.015624
0.971000,0.015624,0.023433
0.972000,0.015624,0.023433
0.973000,0.015624,0.023433
0.974000,0.015624,0.023433
0.975000,0.015624,0.023433
0.976000,0.015624,0.015624
0.977000,0.015624,0.015624
0.978000,0.015624,0.015624
0.979000,0.015624,0.015624
0.980000,0.015624,0.015624
0.981000,0.015624,0.023433
0.982000,0.015624,0.023433
0.983000,0.015624,0.023433
0.984000,0.015624,0.023433
0.985000,0.015624,0.023433
0.986000,0.015624,0.023433
0.987000,0.015624,0.023433
0.988000,0.015624,0.023433
0.989000,0.015624,0.023433
0.990000,0.015624,0.023433
0.991000,0.015624,0.023433
0.992000,0.015624,0.023433
0.993000,0.015624,0.023433
0.994000,0.015624,0.023433
0.995000,0.015624,0.023433
0.996000,0.031240,0.023433
0.997000,0.031240,0.023433
0.998000,0.031240,0.023433
0.999000,0.031240,0.023433
1.000000,0.031240,0.023433
1.001000,0.015624,0.023433
1.002000,0.015624,0.023433
1.003000,0.015624,0.023433
1.004000,0.015624,0.023433
1.005000,0.015624,0.023433
1.006000,0.015624,0.015624
1.007000,0.015624,0.015624
1.008000,0.015624,0.015624
1.009000,0.015624,0.015624
1.010000,0.015624,0.015624
1.011000,0.023433,0.023433
1.012000,0.023433,0.023433
1.013000,0.023433,0.023433
1.014000,0.023433,0.023433
1.015000,0.023433,0.023433
1.016000,0.023433,0.023433
1.017000,0.023433,0.023433
1.018000,0.023433,0.023433
1.019000,0.023433,0.023433
1.020000,0.023433,0.023433
1.021000,0.023433,0.023433
1.022000,0.023433,0.023433
1.023000,0.023433,0.023433
1.024000,0.023433,0.023433
1.025000,0.023433,0.023433
1.026000,0.023433,0.031240
1.027000,0.023433,0.031240
1.028000,0.023433,0.031240
1.029000,0.023433,0.031240
1.030000,0.023433,0.031240
1.031000,0.023433,0.015624
1.032000,0.023433,0.015624
1.033000,0.023433,0.015624
1.034000,0.023433,0.015624
1.035000,0.023433,0.015624
1.036000,0.023433,0.031240
1.037000,0.023433,0.031240
1.038000,0.023433,0.031240
1.039000,0.023433,0.031240
1.040000,0.023433,0.031240
1.041000,0.015624,0.023433
1.042000,0.015624,0.023433
1.043000,0.015624,0.023433
1.044000,0.015624,0.023433
1.045000,0.015624,0.023433
1.046000,0.031240,0.023433
1.047000,0.031240,0.023433
1.048000,0.031240,0.023433
1.049000,0.031240,0.023433
1.050000,0.031240,0.023433
1.051000,0.023433,0.023433
1.052000,0.023433,0.023433
1.053000,0.023433,0.023433
1.054000,0.023433,0.023433
1.055000,0.023433,0.023433
1.056000,0.023433,0.039043
1.057000,0.023433,0.039043
1.058000,0.023433,0.039043
