time,eye_theta_error_l,eye_theta_error_r
0.729000,0.101215,0.093477
0.730000,0.101215,0.093477
0.731000,0.093477,0.085727
0.732000,0.093477,0.085727
0.733000,0.093477,0.085727
0.734000,0.093477,0.085727
0.735000,0.093477,0.085727
0.736000,0.093477,0.077967
0.737000,0.093477,0.077967
0.738000,0.093477,0.077967
0.739000,0.093477,0.077967
0.740000,0.093477,0.077967
0.741000,0.077967,0.077967
0.742000,0.077967,0.077967
0.743000,0.077967,0.077967
0.744000,0.077967,0.077967
0.745000,0.077967,0.077967
0.746000,0.077967,0.070197
0.747000,0.077967,0.070197
0.748000,0.077967,0.070197
0.749000,0.077967,0.070197
0.750000,0.077967,0.070197
0.751000,0.077967,0.070197
0.752000,0.077967,0.070197
0.753000,0.077967,0.070197
0.754000,0.077967,0.070197
0.755000,0.077967,0.070197
0.756000,0.070197,0.062419
0.757000,0.070197,0.062419
0.758000,0.070197,0.062419
0.759000,0.070197,0.062419
0.760000,0.070197,0.062419
0.761000,0.070197,0.062419
0.762000,0.070197,0.062419
0.763000,0.070197,0.062419
0.764000,0.070197,0.062419
0.765000,0.070197,0.062419
0.766000,0.062419,0.062419
0.767000,0.062419,0.062419
0.768000,0.062419,0.062419
0.769000,0.062419,0.062419
0.770000,0.062419,0.062419
0.771000,0.062419,0.054633
0.772000,0.062419,0.054633
0.773000,0.062419,0.054633
0.774000,0.062419,0.054633
0.775000,0.062419,0.054633
0.776000,0.031240,0.031240
0.777000,0.031240,0.031240
0.778000,0.031240,0.031240
0.779000,0.031240,0.031240
0.780000,0.031240,0.031240
0.781000,0.015624,0.007812
0.782000,0.015624,0.007812
0.783000,0.015624,0.007812
0.784000,0.015624,0.007812
0.785000,0.015624,0.007812
0.786000,-0.031240,-0.023433
0.787000,-0.031240,-0.023433
0.788000,-0.031240,-0.023433
0.789000,-0.031240,-0.023433
0.790000,-0.031240,-0.023433
0.791000,-0.046841,-0.046841
0.792000,-0.046841,-0.046841
0.793000,-0.046841,-0.046841
0.794000,-0.046841,-0.046841
0.795000,-0.046841,-0.046841
0.796000,-0.054633,-0.054633
0.797000,-0.054633,-0.054633
0.798000,-0.054633,-0.054633
0.799000,-0.054633,-0.054633
0.800000,-0.054633,-0.054633
0.801000,-0.070197,-0.062419
0.802000,-0.070197,-0.062419
0.803000,-0.070197,-0.062419
0.804000,-0.070197,-0.062419
0.805000,-0.070197,-0.062419
0.806000,-0.070197,-0.054633
0.807000,-0.070197,-0.054633
0.808000,-0.070197,-0.054633
0.809000,-0.070197,-0.054633
0.810000,-0.070197,-0.054633
0.811000,-0.070197,-0.054633
0.812000,-0.070197,-0.054633
0.813000,-0.070197,-0.054633
0.814000,-0.070197,-0.054633
0.815000,-0.070197,-0.054633
0.816000,-0.062419,-0.070197
0.817000,-0.062419,-0.070197
0.818000,-0.062419,-0.070197
0.819000,-0.062419,-0.070197
0.820000,-0.062419,-0.070197
0.821000,-0.070197,-0.070197
0.822000,-0.070197,-0.070197
0.823000,-0.070197,-0.070197
0.824000,-0.070197,-0.070197
0.825000,-0.070197,-0.070197
0.826000,-0.077967,-0.062419
0.827000,-0.077967,-0.062419
0.828000,-0.077967,-0.062419
0.829000,-0.077967,-0.062419
0.830000,-0.077967,-0.062419
0.831000,-0.077967,-0.070197
0.832000,-0.077967,-0.070197
0.833000,-0.077967,-0.070197
0.834000,-0.077967,-0.070197
0.835000,-0.077967,-0.070197
0.836000,-0.085727,-0.077967
0.837000,-0.085727,-0.077967
0.838000,-0.085727,-0.077967
0.839000,-0.085727,-0.077967
0.840000,-0.085727,-0.077967
0.841000,-0.085727,-0.077967
0.842000,-0.085727,-0.077967
0.843000,-0.085727,-0.077967
0.844000,-0.085727,-0.077967
0.845000,-0.085727,-0.077967
0.846000,-0.085727,-0.085727
0.847000,-0.085727,-0.085727
