time,base_err
0.955000,-0.388596
0.956000,-0.386615
0.957000,-0.384638
0.958000,-0.382665
0.959000,-0.380694
0.960000,-0.378727
0.961000,-0.376761
0.962000,-0.374797
0.963000,-0.372834
0.964000,-0.370872
0.965000,-0.368911
0.966000,-0.366951
0.967000,-0.365028
0.968000,-0.363123
0.969000,-0.361235
0.970000,-0.359360
0.971000,-0.357497
0.972000,-0.355642
0.973000,-0.353796
0.974000,-0.351956
0.975000,-0.350121
0.976000,-0.348291
0.977000,-0.346501
0.978000,-0.344733
0.979000,-0.342984
0.980000,-0.341250
0.981000,-0.339528
0.982000,-0.337855
0.983000,-0.336209
0.984000,-0.334586
0.985000,-0.332983
0.986000,-0.331396
0.987000,-0.329823
0.988000,-0.328261
0.989000,-0.326709
0.990000,-0.325165
0.991000,-0.323628
0.992000,-0.322096
0.993000,-0.320569
0.994000,-0.319046
0.995000,-0.317526
0.996000,-0.316009
0.997000,-0.314494
0.998000,-0.312981
0.999000,-0.311469
1.000000,-0.309959
1.001000,-0.308449
1.002000,-0.306940
1.003000,-0.305432
1.004000,-0.303924
1.005000,-0.302417
1.006000,-0.300909
1.007000,-0.299402
1.008000,-0.297895
1.009000,-0.296388
1.010000,-0.294880
1.011000,-0.293373
1.012000,-0.291865
1.013000,-0.290358
1.014000,-0.288850
1.015000,-0.287342
1.016000,-0.285834
1.017000,-0.284362
1.018000,-0.282909
1.019000,-0.281471
1.020000,-0.280047
1.021000,-0.278633
1.022000,-0.277228
1.023000,-0.275831
1.024000,-0.274440
1.025000,-0.273055
1.026000,-0.271674
1.027000,-0.270297
1.028000,-0.268923
1.029000,-0.267551
1.030000,-0.266182
1.031000,-0.264814
1.032000,-0.263448
1.033000,-0.262083
1.034000,-0.260719
1.035000,-0.259355
1.036000,-0.257992
1.037000,-0.256630
1.038000,-0.255268
1.039000,-0.253906
1.040000,-0.252544
1.041000,-0.251182
1.042000,-0.249895
1.043000,-0.248644
1.044000,-0.247425
1.045000,-0.246232
1.046000,-0.245061
1.047000,-0.243909
1.048000,-0.242773
1.049000,-0.241650
1.050000,-0.240537
1.051000,-0.239435
1.052000,-0.238376
1.053000,-0.237343
1.054000,-0.236331
1.055000,-0.235337
1.056000,-0.234358
1.057000,-0.233391
1.058000,-0.232435
1.059000,-0.231488
1.060000,-0.230548
1.061000,-0.229615
1.062000,-0.228686
1.063000,-0.227762
1.064000,-0.226842
1.065000,-0.225924
1.066000,-0.225010
1.067000,-0.224097
1.068000,-0.223186
1.069000,-0.222276
1.070000,-0.221367
